symbol,date,open,high,low,close,volume,open_interest
MES_H20,2020-01-02,3237.0,3261.75,3234.25,3259.0,178832.0,27625.0
MES_M20,2020-01-02,3236.25,3261.25,3235.0,3259.0,166.0,204.0
MES_U20,2020-01-02,3255.0,3258.75,3255.0,3258.75,1.0,9.0
MES_Z20,2020-01-02,3245.0,3259.0,3245.0,3259.0,1.0,8.0
MES_H20,2020-01-03,3260.75,3263.25,3207.0,3235.5,310875.0,27866.0
MES_M20,2020-01-03,3261.25,3262.0,3209.5,3235.25,331.0,223.0
MES_H20,2020-01-06,3222.75,3249.5,3208.75,3243.5,246527.0,31432.0
MES_M20,2020-01-06,3220.0,3247.0,3209.0,3243.5,262.0,216.0
MES_U20,2020-01-06,3218.0,3243.25,3218.0,3243.25,4.0,9.0
MES_H20,2020-01-07,3243.0,3254.5,3226.0,3235.25,221754.0,29946.0
MES_M20,2020-01-07,3243.75,3253.5,3225.75,3235.25,178.0,190.0
MES_U20,2020-01-07,3246.25,3250.0,3235.0,3235.25,5.0,9.0
MES_H20,2020-01-08,3232.0,3267.5,3181.0,3260.25,488406.0,32969.0
MES_M20,2020-01-08,3228.0,3267.5,3183.5,3260.5,599.0,129.0
MES_U20,2020-01-08,3188.0,3265.0,3188.0,3261.0,8.0,7.0
MES_H20,2020-01-09,3259.75,3276.75,3257.75,3276.0,198451.0,33149.0
MES_M20,2020-01-09,3259.5,3278.5,3258.25,3276.25,82.0,166.0
MES_U20,2020-01-09,3270.0,3276.5,3270.0,3276.5,1.0,8.0
MES_H20,2020-01-10,3275.5,3287.0,3260.75,3264.75,218016.0,30835.0
MES_M20,2020-01-10,3276.0,3286.75,3262.5,3265.0,191.0,180.0
MES_U20,2020-01-10,3265.25,3265.25,3265.25,3265.25,1.0,8.0
MES_H20,2020-01-13,3265.75,3291.0,3265.5,3289.75,156703.0,32199.0
MES_M20,2020-01-13,3266.5,3290.75,3266.5,3290.0,110.0,194.0
MES_U20,2020-01-13,3280.0,3290.25,3280.0,3290.25,1.0,9.0
MES_H20,2020-01-14,3289.0,3296.5,3275.25,3288.0,267615.0,30028.0
MES_M20,2020-01-14,3289.0,3296.25,3279.0,3288.25,93.0,193.0
MES_H20,2020-01-15,3287.5,3299.0,3278.0,3293.75,235400.0,31999.0
MES_M20,2020-01-15,3288.0,3298.0,3278.5,3294.25,248.0,249.0
MES_U20,2020-01-15,3297.25,3297.25,3294.0,3294.0,1.0,10.0
MES_H20,2020-01-16,3293.75,3318.0,3293.75,3316.5,176499.0,31324.0
MES_M20,2020-01-16,3298.0,3318.75,3295.5,3317.0,183.0,309.0
MES_U20,2020-01-16,3304.25,3317.0,3304.25,3317.0,1.0,10.0
MES_H20,2020-01-17,3316.75,3330.25,3316.0,3325.0,172211.0,32340.0
MES_M20,2020-01-17,3317.0,3330.5,3317.0,3325.5,274.0,310.0
MES_U20,2020-01-17,3324.5,3326.0,3319.5,3326.0,5.0,15.0
MES_H20,2020-01-21,3324.5,3330.0,3307.25,3319.5,262273.0,35891.0
MES_M20,2020-01-21,3323.5,3329.25,3310.5,3320.0,187.0,300.0
MES_U20,2020-01-21,3325.5,3325.5,3320.25,3320.25,2.0,15.0
MES_H20,2020-01-22,3320.5,3337.5,3315.25,3319.75,221789.0,36703.0
MES_M20,2020-01-22,3320.75,3338.0,3313.75,3320.5,108.0,303.0
MES_U20,2020-01-22,3331.75,3331.75,3320.75,3320.75,4.0,15.0
MES_H20,2020-01-23,3317.0,3327.0,3301.5,3326.0,349429.0,39427.0
MES_M20,2020-01-23,3319.5,3329.25,3303.0,3326.5,179.0,321.0
MES_H20,2020-01-24,3326.25,3337.0,3280.5,3293.5,521297.0,37325.0
MES_M20,2020-01-24,3331.0,3338.0,3281.5,3294.0,374.0,291.0
MES_H20,2020-01-27,3273.0,3273.0,3233.0,3239.5,521503.0,40592.0
MES_M20,2020-01-27,3279.25,3279.25,3232.5,3239.75,280.0,311.0
MES_H20,2020-01-28,3239.5,3285.0,3238.5,3278.25,349143.0,48577.0
MES_M20,2020-01-28,3247.5,3285.0,3242.75,3278.5,203.0,318.0
MES_U20,2020-01-28,3263.75,3278.5,3263.75,3278.5,2.0,17.0
MES_H20,2020-01-29,3282.25,3292.75,3265.25,3272.5,379821.0,40140.0
MES_M20,2020-01-29,3283.0,3293.75,3266.0,3272.75,166.0,327.0
MES_H20,2020-01-30,3272.0,3295.25,3239.5,3289.75,541849.0,43865.0
MES_M20,2020-01-30,3272.75,3295.0,3238.25,3290.0,577.0,571.0
MES_U20,2020-01-30,3259.0,3289.25,3259.0,3289.25,1.0,16.0
MES_H20,2020-01-31,3292.75,3297.5,3212.5,3224.0,642183.0,46735.0
MES_H21,2020-01-31,3224.0,3228.25,3224.0,3228.25,1.0,1.0
MES_M20,2020-01-31,3290.0,3297.5,3212.75,3223.5,405.0,584.0
MES_H20,2020-02-03,3222.0,3267.25,3221.5,3245.5,386183.0,46973.0
MES_M20,2020-02-03,3227.0,3266.0,3227.0,3245.5,251.0,574.0
MES_U20,2020-02-03,3250.0,3250.0,3244.0,3244.75,7.0,23.0
MES_H20,2020-02-04,3244.75,3305.25,3236.0,3299.5,356578.0,48235.0
MES_M20,2020-02-04,3239.25,3305.5,3238.75,3299.75,508.0,661.0
MES_U20,2020-02-04,3267.25,3299.25,3267.25,3299.25,6.0,23.0
MES_H20,2020-02-05,3299.25,3338.25,3288.25,3335.0,416320.0,55531.0
MES_M20,2020-02-05,3294.0,3339.5,3290.0,3335.25,855.0,737.0
MES_U20,2020-02-05,3304.25,3335.5,3304.25,3335.5,12.0,14.0
MES_H20,2020-02-06,3336.0,3357.5,3332.5,3345.25,291379.0,55595.0
MES_H21,2020-02-06,3317.25,3368.25,3317.25,3348.5,2.0,1.0
MES_M20,2020-02-06,3337.5,3359.0,3332.0,3345.5,387.0,781.0
MES_H20,2020-02-07,3348.75,3350.0,3320.75,3325.5,382351.0,59353.0
MES_H21,2020-02-07,3353.5,3353.5,3328.5,3328.5,1.0,1.0
MES_M20,2020-02-07,3348.25,3348.25,3322.0,3325.5,301.0,744.0
MES_U20,2020-02-07,3328.0,3328.0,3326.0,3326.0,1.0,15.0
MES_H20,2020-02-10,3322.0,3353.5,3303.25,3353.0,277254.0,61356.0
MES_M20,2020-02-10,3320.5,3354.0,3305.0,3353.0,411.0,760.0
MES_H20,2020-02-11,3350.75,3374.5,3349.5,3357.5,281600.0,61586.0
MES_M20,2020-02-11,3351.0,3375.0,3350.0,3357.75,784.0,662.0
MES_H20,2020-02-12,3359.75,3381.5,3355.5,3380.5,215754.0,63814.0
MES_M20,2020-02-12,3362.0,3381.25,3356.0,3381.0,331.0,692.0
MES_U20,2020-02-12,3371.0,3381.0,3371.0,3381.0,1.0,15.0
MES_H20,2020-02-13,3380.25,3384.75,3348.5,3377.5,325469.0,64324.0
MES_M20,2020-02-13,3381.25,3385.0,3349.5,3378.0,1018.0,570.0
MES_U20,2020-02-13,3376.25,3379.5,3376.25,3378.0,2.0,16.0
MES_H20,2020-02-14,3379.0,3388.25,3365.25,3381.0,236867.0,64447.0
MES_M20,2020-02-14,3377.5,3388.0,3366.5,3381.5,297.0,585.0
MES_U20,2020-02-14,3379.5,3381.25,3379.5,3381.25,6.0,17.0
MES_H20,2020-02-18,3381.25,3392.5,3355.25,3369.25,333634.0,67750.0
MES_M20,2020-02-18,3388.5,3392.0,3354.25,3369.75,478.0,644.0
MES_Z20,2020-02-18,3372.25,3379.25,3370.5,3370.5,5.0,13.0
MES_H20,2020-02-19,3371.5,3394.0,3370.75,3387.25,213909.0,68256.0
MES_M20,2020-02-19,3374.5,3394.75,3373.75,3388.0,242.0,630.0
MES_H20,2020-02-20,3391.25,3397.5,3339.5,3369.25,554873.0,70868.0
MES_M20,2020-02-20,3390.0,3397.25,3340.0,3369.75,561.0,661.0
MES_U20,2020-02-20,3388.0,3388.0,3336.5,3369.25,9.0,20.0
MES_H20,2020-02-21,3366.75,3369.5,3327.75,3339.25,477927.0,72625.0
MES_M20,2020-02-21,3365.25,3365.25,3327.25,3339.5,510.0,703.0
MES_U20,2020-02-21,3332.75,3338.5,3332.75,3338.5,3.0,19.0
MES_H20,2020-02-24,3315.0,3315.0,3213.75,3226.25,824521.0,81124.0
MES_M20,2020-02-24,3327.25,3327.25,3212.5,3225.5,2161.0,768.0
MES_U20,2020-02-24,3256.0,3258.0,3211.25,3223.0,14.0,15.0
MES_H20,2020-02-25,3224.25,3259.5,3117.25,3132.5,1152006.0,89759.0
MES_M20,2020-02-25,3222.5,3258.75,3116.75,3131.25,2767.0,1087.0
MES_U20,2020-02-25,3230.5,3255.5,3110.25,3128.5,26.0,18.0
MES_H20,2020-02-26,3139.0,3182.0,3090.5,3110.25,1070134.0,95762.0
MES_M20,2020-02-26,3139.75,3180.5,3088.0,3108.5,2887.0,1360.0
MES_U20,2020-02-26,3125.5,3175.0,3105.25,3105.25,14.0,24.0
MES_Z20,2020-02-26,3135.0,3154.0,3107.5,3107.5,9.0,15.0
MES_H20,2020-02-27,3101.25,3117.0,2944.5,2957.0,1282240.0,120359.0
MES_H21,2020-02-27,2990.0,2990.0,2956.75,2956.75,1.0,1.0
MES_M20,2020-02-27,3097.25,3117.75,2940.0,2953.75,6383.0,1729.0
MES_U20,2020-02-27,3088.0,3088.0,2940.0,2949.75,17.0,35.0
MES_Z20,2020-02-27,3110.0,3110.0,2947.0,2947.0,3.0,17.0
MES_H20,2020-02-28,2950.5,2995.75,2853.0,2951.0,1735325.0,185987.0
MES_M20,2020-02-28,2949.25,2992.5,2848.75,2945.5,4876.0,1886.0
MES_U20,2020-02-28,2936.75,2938.75,2865.0,2938.75,14.0,52.0
MES_Z20,2020-02-28,2922.5,2940.0,2877.25,2933.5,9.0,15.0
MES_H20,2020-03-02,2904.0,3093.0,2888.0,3065.0,946817.0,195740.0
MES_M20,2020-03-02,2935.0,3086.75,2883.5,3059.5,3734.0,1890.0
MES_U20,2020-03-02,2910.0,3080.5,2910.0,3054.0,145.0,127.0
MES_H20,2020-03-03,3077.0,3136.5,2973.0,2997.0,1096486.0,217270.0
MES_M20,2020-03-03,3071.0,3130.0,2963.25,2989.5,4271.0,2115.0
MES_U20,2020-03-03,3062.25,3115.25,2981.5,2981.5,55.0,157.0
MES_H20,2020-03-04,2988.75,3129.25,2976.75,3114.75,647060.0,214587.0
MES_M20,2020-03-04,2980.0,3123.75,2968.0,3107.0,3277.0,2091.0
MES_U20,2020-03-04,2995.25,3102.0,2995.25,3098.5,24.0,187.0
MES_Z20,2020-03-04,3045.0,3093.0,3045.0,3093.0,1.0,44.0
MES_H20,2020-03-05,3110.0,3114.0,2996.75,3015.5,718122.0,237154.0
MES_M20,2020-03-05,3103.25,3104.5,2987.5,3006.5,4089.0,2373.0
MES_U20,2020-03-05,3080.0,3080.0,2985.0,2997.25,53.0,203.0
MES_H20,2020-03-06,3024.0,3037.0,2898.0,2964.0,913066.0,260845.0
MES_M20,2020-03-06,3015.0,3026.75,2887.0,2953.75,8111.0,2618.0
MES_U20,2020-03-06,3010.25,3013.0,2880.0,2943.5,213.0,243.0
MES_H20,2020-03-09,2916.5,2917.0,2713.5,2747.75,806067.0,108619.0
MES_H21,2020-03-09,2853.0,2853.0,2730.5,2730.5,1.0,22.0
MES_M20,2020-03-09,2917.0,2917.0,2696.5,2735.25,12156.0,2863.0
MES_U20,2020-03-09,2911.5,2911.5,2707.25,2723.25,229.0,165.0
MES_H20,2020-03-10,2733.5,2884.75,2694.75,2865.75,1061592.0,194594.0
MES_H21,2020-03-10,2690.0,2840.0,2690.0,2840.0,8.0,28.0
MES_M20,2020-03-10,2722.0,2872.75,2685.0,2854.25,14339.0,3777.0
MES_U20,2020-03-10,2690.0,2858.5,2675.0,2843.25,184.0,165.0
MES_H20,2020-03-11,2861.75,2869.5,2703.0,2740.25,1109823.0,87121.0
MES_M20,2020-03-11,2860.0,2860.0,2691.25,2729.0,11558.0,4219.0
MES_U20,2020-03-11,2800.0,2803.5,2684.25,2717.5,51.0,178.0
MES_H20,2020-03-12,2738.25,2773.5,2442.0,2469.0,1447148.0,86910.0
MES_H21,2020-03-12,2690.0,2690.0,2433.0,2433.0,1.0,29.0
MES_M20,2020-03-12,2727.75,2761.75,2429.25,2456.0,44264.0,6255.0
MES_U20,2020-03-12,2714.75,2714.75,2422.0,2445.0,153.0,331.0
MES_Z20,2020-03-12,2580.0,2627.0,2439.0,2439.0,9.0,142.0
MES_H20,2020-03-13,2433.0,2708.5,2393.25,2696.0,503889.0,42885.0
MES_M20,2020-03-13,2428.75,2696.75,2379.75,2684.0,878569.0,22103.0
MES_U20,2020-03-13,2408.0,2686.0,2372.0,2672.5,495.0,360.0
MES_Z20,2020-03-13,2540.5,2668.25,2511.0,2668.25,5.0,144.0
MES_H20,2020-03-16,2673.75,2698.5,2351.0,2416.25,190088.0,41443.0
MES_H21,2020-03-16,2360.75,2370.75,2360.75,2370.75,1.0,50.0
MES_M20,2020-03-16,2663.0,2663.0,2345.0,2405.25,752611.0,44006.0
MES_U20,2020-03-16,2690.0,2700.0,2378.5,2393.5,230.0,405.0
MES_Z20,2020-03-16,2670.0,2670.0,2375.0,2381.5,14.0,142.0
MES_H20,2020-03-17,2420.75,2554.25,2365.0,2495.5,167283.0,38759.0
MES_M20,2020-03-17,2405.25,2542.75,2352.0,2485.5,1307163.0,69910.0
MES_U20,2020-03-17,2390.75,2522.5,2350.0,2474.25,548.0,445.0
MES_Z20,2020-03-17,2467.0,2471.25,2459.5,2465.0,4.0,154.0
MES_H20,2020-03-18,2478.75,2498.75,2273.5,2414.0,95464.0,29447.0
MES_M20,2020-03-18,2469.0,2487.25,2262.5,2401.5,1134851.0,70572.0
MES_U20,2020-03-18,2460.25,2469.0,2257.75,2391.0,715.0,473.0
