symbol,date,open,high,low,close,volume
VOO,2020-01-02,297.29,298.45,296.34,298.42,3142400.0
VOO,2020-01-03,295.22,297.36,295.04,296.24,3247900.0
VOO,2020-01-06,294.42,297.42,294.35,297.35,2777100.0
VOO,2020-01-07,296.82,297.27,296.06,296.53,2251800.0
VOO,2020-01-08,296.71,299.31,296.47,298.06,3719500.0
VOO,2020-01-09,299.73,300.19,299.09,300.12,2168500.0
VOO,2020-01-10,300.74,300.86,298.79,299.26,3666800.0
VOO,2020-01-13,299.91,301.32,299.48,301.24,2728000.0
VOO,2020-01-14,300.89,301.91,300.32,300.84,2620100.0
VOO,2020-01-15,300.81,302.3,300.69,301.51,2822300.0
VOO,2020-01-16,302.94,304.04,302.71,304.03,2582600.0
VOO,2020-01-17,304.77,305.2,304.2,305.06,2218000.0
VOO,2020-01-21,304.08,305.22,304.0,304.43,2757900.0
VOO,2020-01-22,305.31,305.92,304.32,304.51,2765300.0
VOO,2020-01-23,303.84,304.97,302.66,304.81,2673100.0
VOO,2020-01-24,305.42,305.52,300.81,302.03,3448200.0
VOO,2020-01-27,296.84,298.73,296.45,297.23,4302000.0
VOO,2020-01-28,298.7,301.22,298.22,300.45,3562500.0
VOO,2020-01-29,301.78,301.94,299.92,300.15,2739400.0
VOO,2020-01-30,298.04,301.29,297.3,301.09,4432700.0
VOO,2020-01-31,300.44,300.6,294.72,295.69,6184700.0
VOO,2020-02-03,297.12,299.67,297.03,297.84,3205200.0
VOO,2020-02-04,301.5,303.23,301.16,302.43,2292800.0
VOO,2020-02-05,305.4,306.08,303.87,305.85,3049900.0
VOO,2020-02-06,306.8,307.08,305.81,306.89,1925500.0
VOO,2020-02-07,305.83,306.59,304.74,305.33,2249000.0
VOO,2020-02-10,304.39,307.56,304.35,307.52,2246900.0
VOO,2020-02-11,308.93,309.69,307.61,308.08,2438800.0
VOO,2020-02-12,309.56,310.27,309.17,310.06,2115800.0
VOO,2020-02-13,308.6,310.72,308.36,309.76,2043400.0
VOO,2020-02-14,310.11,310.33,309.0,310.28,1637000.0
VOO,2020-02-18,309.24,309.82,308.03,309.43,3000300.0
VOO,2020-02-19,310.42,311.59,310.12,310.92,2257500.0
VOO,2020-02-20,310.35,311.19,306.67,309.7,4617300.0
VOO,2020-02-21,308.3,308.58,305.62,306.49,2678000.0
VOO,2020-02-24,296.96,299.38,295.17,296.24,7097000.0
VOO,2020-02-25,297.73,298.23,286.36,287.34,8465800.0
VOO,2020-02-26,288.61,292.28,285.48,286.07,10233700
VOO,2020-02-27,280.57,284.48,273.36,273.39,14897000
VOO,2020-02-28,265.32,272.92,262.25,271.74,23179600
VOO,2020-03-02,274.0,284.04,270.49,283.87,12428600
VOO,2020-03-03,284.34,288.32,273.36,276.04,9805900.0
VOO,2020-03-04,281.23,287.65,278.7,287.48,5253900.0
VOO,2020-03-05,280.3,283.41,275.61,277.85,6220000.0
VOO,2020-03-06,269.32,274.46,266.6,273.19,6669100.0
VOO,2020-03-09,253.89,260.99,251.15,252.11,16425900
VOO,2020-03-10,260.48,263.81,250.0,263.81,10879100
VOO,2020-03-11,256.66,257.72,247.62,250.73,11480100
VOO,2020-03-12,234.94,243.68,225.81,226.48,24669300
VOO,2020-03-13,240.66,247.78,228.1,247.64,19533600
VOO,2020-03-16,222.85,234.77,218.14,218.57,17271500
VOO,2020-03-17,223.75,233.95,216.6,232.88,15115500
VOO,2020-03-18,216.08,224.74,208.31,220.15,20177500
VOO,2020-03-19,218.43,226.0,212.11,220.34,12441200
VOO,2020-03-20,222.8,224.56,210.05,210.74,11533200
VOO,2020-03-23,209.63,210.78,200.55,204.27,14128200
VOO,2020-03-24,216.39,224.3,214.83,223.75,13160800
VOO,2020-03-25,225.0,235.51,220.32,226.62,11876400
VOO,2020-03-26,229.27,241.44,228.85,240.24,12411100
VOO,2020-03-27,232.7,239.64,230.66,232.86,11170600
VOO,2020-03-30,234.92,241.1,232.97,240.39,8727800.0
VOO,2020-03-31,239.45,241.94,235.44,236.82,10386300
VOO,2020-04-01,227.92,231.05,224.13,226.15,13710100
VOO,2020-04-02,225.33,232.18,224.72,231.44,6547000.0
VOO,2020-04-03,230.43,232.71,225.34,228.02,5490200.0
VOO,2020-04-06,236.96,245.3,235.93,243.53,7624000.0
VOO,2020-04-07,251.92,252.8,243.46,243.66,12936600
VOO,2020-04-08,246.24,253.05,244.05,251.93,6958600.0
VOO,2020-04-09,255.12,258.39,253.14,255.67,8812600.0
VOO,2020-04-13,254.64,254.95,249.38,253.19,7666400.0
VOO,2020-04-14,258.24,261.63,257.21,260.92,6631100.0
VOO,2020-04-15,255.08,256.9,253.11,255.24,4888900.0
VOO,2020-04-16,256.51,257.3,253.4,256.53,6165700.0
VOO,2020-04-17,262.31,264.0,259.5,263.61,6738800.0
VOO,2020-04-20,259.65,263.1,258.58,258.86,6498700.0
VOO,2020-04-21,254.25,255.49,250.0,250.95,6526100.0
VOO,2020-04-22,255.83,258.23,254.48,256.47,5626800.0
VOO,2020-04-23,257.75,260.9,256.2,256.42,7665400.0
VOO,2020-04-24,258.0,260.7,255.94,260.14,4768200.0
