dt,bid,ask,last
2025-01-02,4800.00,4800.00,4800.00
2025-01-03,4772.50,4772.50,4772.50
2025-01-06,4862.50,4863.00,4862.75
2025-01-07,4853.00,4853.00,4853.00
2025-01-08,4844.00,4844.50,4844.25
2025-01-09,4807.50,4807.50,4807.50
2025-01-10,4819.00,4819.00,4819.00
2025-01-13,4784.00,4784.50,4784.25
2025-01-14,4754.00,4754.00,4754.00
2025-01-15,4708.00,4708.00,4708.00
2025-01-16,4710.50,4710.50,4710.50
2025-01-17,4645.50,4645.50,4645.50
2025-01-20,4664.50,4665.00,4664.75
2025-01-21,4642.50,4642.50,4642.50
2025-01-22,4627.00,4627.50,4627.25
2025-01-23,4513.50,4514.00,4513.75
2025-01-24,4531.00,4531.50,4531.25
2025-01-27,4514.00,4514.50,4514.25
2025-01-28,4511.00,4511.50,4511.25
2025-01-29,4562.00,4562.00,4562.00
2025-01-30,4531.50,4531.50,4531.50
2025-01-31,4569.00,4569.00,4569.00
2025-02-03,4566.50,4567.00,4566.75
2025-02-04,4526.00,4526.00,4526.00
2025-02-05,4493.50,4493.50,4493.50
2025-02-06,4487.00,4487.50,4487.25
2025-02-07,4558.50,4558.50,4558.50
2025-02-10,4576.00,4576.00,4576.00
2025-02-11,4609.00,4609.00,4609.00
2025-02-12,4666.50,4666.50,4666.50
2025-02-13,4752.50,4752.50,4752.50
2025-02-14,4752.00,4752.00,4752.00
2025-02-17,4725.00,4725.00,4725.00
2025-02-18,4739.00,4739.00,4739.00
2025-02-19,4692.50,4692.50,4692.50
2025-02-20,4747.00,4747.50,4747.25
2025-02-21,4803.50,4804.00,4803.75
2025-02-24,4805.50,4805.50,4805.50
2025-02-25,4831.50,4832.00,4831.75
2025-02-26,4795.00,4795.50,4795.25
2025-02-27,4763.50,4764.00,4763.75
2025-02-28,4779.50,4779.50,4779.50
2025-03-03,4851.00,4851.50,4851.25
2025-03-04,4878.00,4878.50,4878.25
2025-03-05,4858.50,4859.00,4858.75
2025-03-06,4822.50,4822.50,4822.50
2025-03-07,4845.50,4845.50,4845.50
2025-03-10,4920.50,4921.00,4920.75
2025-03-11,4982.50,4983.00,4982.75
2025-03-12,4950.00,4950.00,4950.00
2025-03-13,4988.50,4989.00,4988.75
2025-03-14,5019.50,5019.50,5019.50
2025-03-17,5070.50,5071.00,5070.75
2025-03-18,5121.50,5122.00,5121.75
2025-03-19,5052.00,5052.50,5052.25
2025-03-20,5032.00,5032.00,5032.00
2025-03-21,5048.00,5048.00,5048.00
