roll_date,from_contract,to_contract,from_expiration,to_expiration
2020-03-16,MES_H20,MES_M20,2020-03-20,2020-06-19
2020-06-15,MES_M20,MES_U20,2020-06-19,2020-09-18
2020-09-14,MES_U20,MES_Z20,2020-09-18,2020-12-18
2020-12-14,MES_Z20,MES_H21,2020-12-18,2021-03-19
2021-03-15,MES_H21,MES_M21,2021-03-19,2021-06-18
2021-06-14,MES_M21,MES_U21,2021-06-18,2021-09-17
2021-09-13,MES_U21,MES_Z21,2021-09-17,2021-12-17
2021-12-13,MES_Z21,MES_H22,2021-12-17,2022-03-18
2022-03-14,MES_H22,MES_M22,2022-03-18,2022-06-17
2022-06-13,MES_M22,MES_U22,2022-06-17,2022-09-16
2022-09-12,MES_U22,MES_Z22,2022-09-16,2022-12-16
2022-12-12,MES_Z22,MES_H23,2022-12-16,2023-03-17
2023-03-13,MES_H23,MES_M23,2023-03-17,2023-06-16
2023-06-12,MES_M23,MES_U23,2023-06-16,2023-09-15
2023-09-11,MES_U23,MES_Z23,2023-09-15,2023-12-15
2023-12-11,MES_Z23,MES_H24,2023-12-15,2024-03-15
2024-03-11,MES_H24,MES_M24,2024-03-15,2024-06-21
2024-06-17,MES_M24,MES_U24,2024-06-21,2024-09-20
2024-09-16,MES_U24,MES_Z24,2024-09-20,2024-12-20
2024-12-16,MES_Z24,MES_H25,2024-12-20,2025-03-21
